2018-08-27 17:47:14 INFO  DefaultCamelContext:3143 - Apache Camel 2.22.0 (CamelContext: camel-1) is starting
2018-08-27 17:47:14 INFO  ManagedManagementStrategy:205 - JMX is enabled
2018-08-27 17:47:15 INFO  DefaultTypeConverter:66 - Type converters loaded (core: 195, classpath: 0)
2018-08-27 17:47:15 INFO  DefaultCamelContext:3470 - StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-08-27 17:47:15 INFO  DefaultCamelContext:4030 - Route: route1 started and consuming from: file://data/input
2018-08-27 17:47:15 INFO  DefaultCamelContext:3191 - Total 1 routes, of which 1 are started
2018-08-27 17:47:15 INFO  DefaultCamelContext:3202 - Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.631 seconds
2018-08-27 17:47:20 INFO  DefaultCamelContext:3501 - Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
2018-08-27 17:47:20 INFO  DefaultShutdownStrategy:195 - Starting to graceful shutdown 1 routes (timeout 300 seconds)
2018-08-27 17:47:20 INFO  DefaultShutdownStrategy:671 - Route: route1 shutdown complete, was consuming from: file://data/input
2018-08-27 17:47:20 INFO  DefaultShutdownStrategy:260 - Graceful shutdown of 1 routes completed in 0 seconds
2018-08-27 17:47:20 INFO  DefaultCamelContext:3592 - Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.670 seconds
2018-08-27 17:47:20 INFO  DefaultCamelContext:3593 - Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.034 seconds
 2018-08-27 17:52:17,193 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.559 seconds
 2018-08-27 17:52:17,193 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.028 seconds
 2018-08-27 17:52:38,681 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
 2018-08-27 17:52:38,687 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
 2018-08-27 17:52:39,175 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
 2018-08-27 17:52:39,411 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
 2018-08-27 17:52:39,556 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input
 2018-08-27 17:52:39,557 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
 2018-08-27 17:52:39,567 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.884 seconds
 2018-08-27 17:52:44,568 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
 2018-08-27 17:52:44,569 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
 2018-08-27 17:52:44,572 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
 2018-08-27 17:52:44,572 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
 2018-08-27 17:52:44,595 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.922 seconds
 2018-08-27 17:52:44,596 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.028 seconds
 2018-08-27 17:53:36,778 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
 2018-08-27 17:53:36,784 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
 2018-08-27 17:53:37,168 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
 2018-08-27 17:53:37,418 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
 2018-08-27 17:53:37,527 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input
 2018-08-27 17:53:37,527 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
 2018-08-27 17:53:37,536 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.755 seconds
 2018-08-27 17:53:42,537 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
 2018-08-27 17:53:42,538 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
 2018-08-27 17:53:42,541 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
 2018-08-27 17:53:42,542 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
 2018-08-27 17:53:42,570 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.797 seconds
 2018-08-27 17:53:42,570 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.033 seconds
 2018-08-27 17:55:45,892 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
 2018-08-27 17:55:45,898 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
 2018-08-27 17:55:46,295 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
 2018-08-27 17:55:46,515 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
 2018-08-27 17:55:46,526 | INFO | FileEndpoint.java 102 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
